,product_name,generic_name,brands,categories
0,Purée Pomme Myrtille sans sucres ajoutés,purée de pommes et de myrtilles sans sucres ajoutés issue de l'agriculture biologique,Biocoop,Compotes pommes myrtille
1,Abatilles Sainte Anne &quot;la Bordelaise&quot;,eau minérale naturelle,Abatilles,eau minérale
2,Kailo nouilles arôme poulet,,Kailo brand,
3,Blanc de poulet,Blanc de poulet cuit traité en salaison de qualité supérieure,U,Blancs de poulet
4,Bâtonnets savoureux,,Ronde des mers,
5,baby kiwi à grignoter,,Nergi,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Fruits et produits dérivés,Fruits"
6,Pure Premium Ananas pressés Mangues Pommes,Jus de 3 fruits flash pasteurisé,Tropicana,"Jus multifruits,Jus de fruits 100% pur jus"
7,Pain d'épices au sucre perlé,,Best Of,"Snacks sucrés,Biscuits et gâteaux,Pains d'épices"
8,Frit'max,,U,Frites
9,Potabio,Potage déshydraté aux algues,nat ali,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:fruits-and-vegetables-based-foods, en:dried-products, en:meals, en:dried-products-to-be-rehydrated, en:soups, en:vegetable-soups, en:dried-meals, en:dehydrated-soups, en:dehydrated-vegetable-soups"
10,Framboise Bio,Sorbet,Altiflore,Sorbets à la framboise
11,Abondance AOP (33% MG),,"Sans marque,Fromageries Chabert","Abondance,Fromages au lait cru,Fromages de vache"
12,Croky Chips Bolognese 18X200G,,Croky,
13,Confipote framboise,Confiture de framboises allégée en sucres,Materne,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Produits à tartiner,Petit-déjeuners,Fruits et produits dérivés,Pâtes à tartiner végétaux,Produits à tartiner sucrés,Confitures et marmelades,Confitures,Confitures de fruits,Confitures de fruits rouges,Confitures allégées,Confitures de framboises"
14,Pizza 4 fromages,,Picard,
15,Panna Cotta sur lit de Fruits Rouges ,Dessert lacté saveur vanille sur lit de fruits rouges,"Auchan,L'oiseau,Auchan Production,Groupe Auchan","Frais,Produits laitiers,Desserts,Desserts lactés,Pannacottas,Desserts lactés à la vanille,Cuisine italienne,Desserts italiens,Pannacottas sur lit de fruits rouges"
16,Houmus Salsa Carmel Harissa EDEN SABRA,,Eden Gourmet,
17,Thon Albacore,,Leader Price,"Produits de la mer,Poissons,Thons,Thons tropicaux,Thons albacore,Thons à l'huile d'olive,Thons en conserve"
18,Chips paysannes,,"Casino,Casino Bio",
19,Tomates à la Provençale ,Tomates à la Provençale ,Jean Martin,"Produits à tartiner,Produits à tartiner salés,Tomates et dérivés"
20,Loving Earth Extra Noir 85% 80G Loving Earth,,Loving Earth,
21,Gaufres Fourrées,,Succes Du Jour,
22,"Velouté de poireaux, pommes de terre & persil",,La Potagère,Veloutés de légumes
23,palet graines et miel,Biscuits aux graines de sésame et lin au miel,leader price,"Snacks sucrés,Biscuits et gâteaux,Biscuits"
24,Milchreis,,Landfein,
25,Poulet Korma et riz Basmati ,Plat préparé frais à réchauffer au micro-ondes,Isali,"Frais,Plats préparés,Plats à base de viande,Plats à base de volaille,Plats préparés frais,Plats préparés à réchauffer au micro-ondes,Cuisine asiatique,Cuisine indienne,Plats préparés à réchauffer au bain-marie,Poulet Korma et riz Basmati,Plats à base de poulet"
26,Bâtonnets de Colin d'Alaska rik et rok,,Auchan,
27,Vinaigrette,,Le Prix Gagnant!,Vinaigrettes
28,Cubanisto-beer With Mojito Flavor-500ml-france,,Cubanisto,en:beverages
29,Rousquilles fondantes,,Lor,"Snacks sucrés,Biscuits et gâteaux,Biscuits"
30,Speck Alto Adige IGP,,Bonneterre,
31,Les minis orange carotte pomme,,Pressoirs De Provence,en:beverages
32,Perles De Konjac,,Karelea,
33,Lunettes Fraise,,Bonneterre,
34,Thon rosé en saumure,,Migros,
35,Mousse de volaille à l'orientale,,Isla Mondial,
36,Chocolat lait fourrage pâte à tartiner noisettes,Chocolat au lait fourrage cacao noisette et éclats de noisettes caramélisées,"Leader Price,Carrés Gourmands","Chocolats au lait,Chocolats"
37,Doony's Sucre,,"Auchan,Le Boulanger","Donuts,Pâtisseries"
38,Amande Blanchie Emondée,,Agidra,
39,Haricots rouges,,Auchan,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:canned-foods, en:legumes-and-their-products, en:canned-plant-based-foods, en:canned-legumes, en:canned-common-beans, en:canned-kidney-common-beans"
40,Beurre doux fin et naturel,Beurre pasteurisé doux,Alain Ledanec,"Spreads,Dairies,Fats,Spreadable fats,Animal fats,Milkfat,Butters,Pasteurized butters,Sweet cream butters"
41,Purée de Cajou,Purée de Cajou,La Vie Claire,Purées de noix de cajou
42,Cassonade Sucre roux en poudre,,Sucandise,"Sucres roux,Sucres de canne"
43,Les Tartelettes Raffinées,"Asssortiment de 12 mini tartelettes précuites surgelées à base de pâte bur beurre (43%), 4 variétés.","Labeyrie,Les Collections Labeyrie","Surgelés,Snacks salés,Apéritif,Plats préparés,Plats préparés surgelés,Tartes,Pizzas tartes salées et quiches,Tartes salées,Petits fours"
44,20 Biscuits Chocolat Lait Grand Jury,,Grand Jury,
45,Gaufrette goût crème,,Asinez,Gaufrettes
46,Achards de légumes,,Royal Bourbon,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Conserves,Légumes et dérivés,Aliments à base de plantes en conserve,Pickles,Légumes en conserve,Pickles d'origine végétale,Plant-based mixed pickles,Pickles de légumes,Mixed vegetable pickles,Achards de légumes"
47,Morceaux de thon albacore,,Carrefour Discount,Thons en conserve
48,Côtes du Rhône Villages 2014,,Union des Vignerons des Cotes du Rhône,"Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Côtes du Rhône,Côtes du Rhône Villages"
49,Mangues fondantes sans sucres ajoutés,Compote de mangue et pomme,Charles & Alice,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Desserts,Fruits et produits dérivés,Compotes,Compotes mangues"
50,Lasagnes à la Bolognaise,,U,Lasagnes à la bolognaise
51,L'Or Espresso Forza (coffret 60 capsules),,Maison du Café,"Boissons,Boissons chaudes,Cafés,Café en dosettes,Cafés moulus,Boissons non sucrées,Café en dosettes compatible Nespresso"
52,Les Taillerins à l'ancienne aux Myrtilles,Spécialité céréalière,"Alpina,Alpina Savoie","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Pâtes alimentaires,Pâtes sèches,Pâtes seches aromatisées et colorées"
53,Purée de sésame blanc Tahin,,Natura Nostra,Purées de sésame blanc
54,Courge spaghetti,,,
55,Honigflakes Honey Wheat,,Knusperone,
56,Le Tranché Fin Dégustation,Jambon blanc,Fleury Michon,Jambons blancs
57,Ravioli au Jambon,Ravioli,Fiorini,"Raviolis,Raviolis au jambon"
58,Double concentré de tomates,Purée de tomates double concentrée 28%,Bien Vu,Concentrés de tomates
59,Madeleines extra moelleuses ,,Ker cadelac,Madeleines au chocolat
60,Blanc de dinde Doré au four - 6tr.,,Fleury Michon,Blanc de dinde
61,Pick Up! Black'n White,Tablette de chocolat blanc (34%) entre deux biscuits,Bahlsen,"Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat"
62,Synactifs Feractifs,,Laboratoires vitarmonyl,
63,Potage tomates oignons basilic,,Les Printanières,
64,"Mayonnaise à L'huile De Colza Bien Vu,",,Bien vu,en:fats
65,Pain de Mie Bio,Pain de mie issu de l'agriculture biologique,"Casino BIO,Groupe Casino",Pains de mie
66,Nature Addicts,,Fruit,
67,Trait Bio,,La Lemance,
68,Menthe Chocolat Noir,,Emoti,Chocolats noirs
69,Tartinade de gésiers en persillade,,La Table d'Antan,Produits à tartiner salés
70,Biscuit Salé,,Le Prix Gagnant,
71,Asperges vertes miniatures,,Rochambeau,Asperges vertes en conserve
72,bon app',,carrefour,en:beverages
73,"Camembert allégé au lait pasteurisé BON MAYENNAIS, 11%MG, 250g",,Vaubernier,
74,Gallia calisma,,Gallia,
75,Brick 1L Pur Jus Orange Square Grand Jury,,Grand Jury,fr:Jus-d-orange-100-pur-jus
76,Huile Spéciale Friture,,Borges,"Huiles pour cuisson,Huiles pour fritures,Huiles végétales,Huiles"
77,Rillettes pur porc,,Rillettes de l'Ermitage,"Viandes,Produits à tartiner,Charcuteries,Produits à tartiner salés,Rillettes,Rillettes de viande,Rillettes de viande rouge,Rillettes de porc"
78,Boisson à l'avoine Bio,,"La Vie Claire,La  Vie Claire","en:plant-based-foods-and-beverages, en:plant-based-foods, en:cereals-and-potatoes, en:cereals-and-their-products, en:plant-based-beverages, en:milk-substitute, en:plant-milks, en:cereal-milks, en:non-sugared-beverages, en:oat-milks, en:milks"
79,Pavé de saumon et son chili de légumes et haricots rouges,,Dietbon,
80,M&M's Party,,"M&M's,Mars",Cacahuètes au chocolat
81,Verrines (1 Campagne + 1 Foie Porc + 1 Foie de Volaille),,Winny,Terrines
82,Dessert Gourmand Crème à La Crème De Marrons,Dessert lacté à la crème de marrons,Mamie Nova,"Desserts lactés,Crèmes dessert"
83,Pois chiche très gros,,Bahadourian,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Légumineuses et dérivés,Légumineuses,Graines,Graines de légumineuses,Légumes secs,Pois chiches"
84,Ma Boîte à Goûter,Assortiment de sucres vanillés et de levure.,"Vahiné,McCormick","Sucres vanillés,Levures chimiques,Aides à la pâtisserie"
85,Très Pressés Grenade,,La Compagnie Des Maraichers,en:beverages
86,Galettes de Maïs au Chocolat Noir Bio,Galettes de Maïs,Bjorg,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Galettes de céréales,Galettes de maïs au chocolat noir"
87,Moutarde de Dijon fabriquée à la meule de pierre,,Edmond Fallot,"Epicerie,Condiments,Sauces,Moutardes,Moutardes de Dijon"
88,Truite fumée France,Truite élevée et fumée en France,"Ronde des Mers,Marque repère","Produits de la mer,Poissons,Poissons fumés,Truites fumées,Poisson sous emballage plastique"
89,Sablé Eclats De Caramel,,Carrefour BIO,
90,"Tendre Croque, maXI Jambon Fromage (x 2)",Croque-Monsieur,"Herta,Nestlé,Tendre Croque","Frais,Sandwichs,Croque-monsieur"
91,Maïs doux en épis,Maïs doux,Picard,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Surgelés,Aliments à base de plantes surgelés,Céréales surgelés,Maïs surgelé"
92,Biscino Coeur fondant au lait,"31% de petit beurre avec 27% de fourrage à base de lait nappé de 42,9% de chocolat au lait entier",Sondey,"Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Biscuits au chocolat au lait"
93,Lasagne,,Sacla,
94,Cardons lyonnais au naturel,,Maison Malartre,"Cardons,Légumes en conserve"
95,Sauce tomate / basilic,,Giaguaro,
96,Rosette,,"Saint Azay,Marque Repère","Viandes,Charcuteries,Saucissons,Rosettes"
97,12 Mini verrines apéritives,"12 mini verrines apéritives (4 gaspacho tomate poivron, crémeux pain grillé, cubes de poivrons rouges ; 4 mousse au fromage de chèvre, préparation gélifiée au miel, crumble emmental et noix ; 4 tratinable de surimi au tourteau, crémeux avocat mascarpone, zete de citron jaune, sésame doré), surgelées",Thiriet,"Surgelés,Snacks salés,Apéritif,Verrines"
98,Huile vierge de noix 1ère pression,,La Tourangelle,Huiles de noix
99,Lentilles Noires,,Vivien Paille,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Légumineuses et dérivés,Légumineuses,Graines,Graines de légumineuses,Légumes secs,Lentilles,Lentilles noires"
100,Huile de colza,,Pouce,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:vegetable-fats, en:vegetable-oils, en:rapeseed-oils, en:fats"
101,Crème glacée Café Expresso,,Les Cigalines,Crèmes glacées
102,"Smooth peanut butter, beurre de cacahuète",,Mark & spencer,en:fats
103,Parmentier de Bœuf (À la mousseline de potiron butternut parsemée d'amandes effilées),"Plat cuisiné à base de bœuf, purée de potiron et butternut",Labeyrie,"Plats préparés,Plats à base de viande,Plats à base de viande bovine,Plats préparés frais"
104,Birchermüesli (denner),,Denner,
105,Jambon supérieur,,"Sans marque,Roux","Viandes,Charcuteries,Jambons,Jambons blancs"
106,"Mojito U, mini bocal quadrette",,U,en:beverages
107,Gentiane,Boisson fermentée aromatisée élaborée à partir de racines de gentiane sauvage,Perrault Dabot,"Eaux-de-vie,Boissons,Boissons alcoolisées,Alcools forts,Gentiane"
108,Huile 4 Graines,,Monoprix,Huiles végétales
109,Pizza Légumes du Soleil,,Laborie,pizzas
110,Creation Coco Frappé,"Chocolat noir, extra fin traditionnel, fourré. Intérieur ganache à la noix de coco 35%",Lindt,"Snacks sucrés,Chocolats,Chocolats noirs,Chocolats noirs extra fins"
111,Escargots  de Bourgogne ,,Bontout Sélection,"Viandes,Escargots,Escargots de Bourgogne,Conserves,Esargots en conserve"
112,"Lasagnes à la bolognaise, Surgelées",Lasagnes à la bolognaise ,"Auchan,Pouce,Auchan Production,Groupe Auchan","Surgelés,Plats préparés,Plats à base de viande,Plats à base de viande bovine,Plats préparés à réchauffer au micro-ondes,Plats cuisinés surgelés,Lasagnes préparées,Lasagnes à la bolognaise,Plats préparés à réchauffer au four traditionnel"
113,Lait UHT Demi-Écrémé,Lait demi-écrémé stérilisé UHT,"Le Petit Vendéen,Terra Lacta","en:dairies, en:homogenized-milks, en:pasteurised-milks, en:uht-milks, en:semi-skimmed-milks, en:milks"
114,Fromage Blanc Lissé demi-écrémé,Fromage blanc,Bernard Gaborit,"Produits laitiers,Fromages,Fromages blancs"
115,All-Bran Fibre Plus,Céréales au son de blé,Kellogg's,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner"
116,poulet roti fermier,poulet roti,Leclerc,"Viandes,Volailles,Poulets,Poulets rotis"
117,Craquantin Sachet De100 GRS,,La Craquanterie,
118,Yaourts 0% Fruits,"Spécialité Laitière Maigre aux Fruits avec Édulcorants. Fraise, abricot, cerise, pêche.",Casino,"Yaourts allégés en matière grasse,Yaourts aux fruits avec morceaux"
119,Confiture extra de Framboise,,Biolo'Klock,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Produits à tartiner,Petit-déjeuners,Fruits et produits dérivés,Pâtes à tartiner végétaux,Produits à tartiner sucrés,Confitures et marmelades,Confitures,Confitures de fruits,Confitures de fruits rouges,Confitures de framboises"
120,150G Branchette Sel Ancel,,Ancel,
121,Au coeur du mexique,Salade de thon à la mexicaine,Petit navire,"Plats préparés,Salades composées"
122,Cuillers pâtissiers,Biscuits cuillers aux œufs frais,U,"Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits à la cuillère"
123,Tic Tac menthe,,Tic Tac,
124,Yah ! Parfum Vanille,Yaourt à boire sucré et aromatisé parfum vanille,"Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour","Frais,Produits laitiers,Yaourts,Yaourts à boire,Yaourts à boire sucrés,Yaourts à boire aromatisés,Yaourts à boire vanille"
125,70% Cacao,"Chocolat noir, à teneur réduite en sucres, avec édulcorant",Gerblé,"Snacks sucrés,Chocolats,Chocolats noirs,Chocolats noirs aux édulcorants"
126,400G Veloute De Tomates Bio Sans Gluten Amy S Kitchen,,Amy s kitchen,
127,Châtaignes entières pelées au feu,,"Notre Jardin,Marque Repère","Châtaignes,Fruits à coques en conserve"
128,Ma 1ère Blédine,Préparation à base de céréales instantanées pour bébés,"Blédine,Blédina,Danone","en:baby-foods, en:cereals-for-babies"
129,chips XTRA saucy BBQ,Snack salé au goût barbecue,pringles,Snack salé
130,Lentilles,Lentilles préparées,Leader Price,"Lentilles,Conserve de légumes"
131,Epicerie / Petit Déjeuner / Céréales Petit Déjeuner,,Celnat,
132,Lasagne à la Bolognaise,,Marie,"en:meals, en:meals-with-meat, en:microwave-meals, en:beef-dishes, en:prepared-lasagne, fr:lasagnes-a-la-bolognaise"
133,Petits Pois extra fins,,Leader Price,Petits pois en conserve
134,Sucettes au chocolat au lait et blanc,,Chevaliers d'Argouges,"Snacks sucrés,Chocolats,Chocolats au lait"
135,Crackers allégés saveur crème oignons,Biscuits salés à base de pomme de terre allégés en matières grasses saveur crème oignon,Cora,"Snacks salés,Apéritif,Biscuits apéritifs,Crackers allégés en matières grasses,Crackers salés"
136,DELICE CHOC'ORANGE,,Tartin'Alpes,
137,Brioche tranchée aux pépites de chocolat,,Chabrior,"Brioches au chocolat,Brioches tranchées"
138,Véritable choucroute garnie d'Alsace cuisinée au Riesling,,"U Saveurs,U","Plats préparés,Plats à base de viande,Plats à base de viande porcine,Choucroutes"
139,Concentré saveur agrumes,"Préparation aromatisée pour boissons rafraîchissantes gazéifiées, avec sucre et édulcorants",Sodastream,"Boissons,Sirops,Sirops d'agrumes"
140,Cahors 2011,,Léon Lefèvre,"Boissons,Boissons alcoolisées,Vins,Vins rouges,Cahors,Vins du Sud-Ouest"
141,Schokolade Chips,,Golden sun,
142,chaï doux,infusion ayurvédique d'épices,Yogi Tea,infusions
143,"Petits pois carottes à l'étuvée, extra fins",Petits pois extra-fins et jeunes carottes à l'étuvée,Auchan,"Petits pois en conserve,Carottes en conserve,Petits pois et carottes"
144,"Gouda (30,6 % MG)","Fromage industriel des Pays-Bas, à pâte pressée non cuite, au lait pasteurisé de vache","Notre Sélection,Auchan","Produits laitiers,Fromages,Frais,Fromages de vache,Fromages à pâte pressée non cuite,Fromages de vache Prim'Holstein,Fromages des Pays-Bas,Goudas,Fromages industriels,Fromages pasteurisés"
145,Le Supérieur Nature,,Fleury Michon,
146,Viande bœuf bio séchée,,Auchan,
147,Van Strien Butter Brazilnut & Date Cookies (roomboter Paranoot & Dadel Koekjes) Handmade,,Banketbakkerij Van Strien BV,
148,Country Crisp Chocolat Noir,Pépites croustillantes de céréales complètes avec des copeaux de chocolat noir,Jordans,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Flocons,Flocons de céréales,Mélanges de flocons de céréales,Mueslis"
149,Sablé céréales nappés chocolat au lait,,"U Bio,U",Sablés
150,Crevette à l'ail,crevettes à l'ail,Génération Gourmets,"Produits de la mer,Crustacés,Crevettes,Salaison,Traiteur"
151,Spinach & Ricotta Cannelloni,"Pâtes garnies d'épinards et de fromage ricotta, avec de la sauce tomate, recouvertes de béchamel et de fromage • faible teneur en matières grasses.",Marks & Spencer,"Plats préparés à réchauffer au micro-ondes,Cannelloni,Plats préparés réfrigérés"
152,Compotes Et Purées De Fruits,,Coteaux nantais,
153,Jus orange mangue,,Tropicana,Jus multifruits
154,Rillettes du Mans Bordeau Chesnel,Rillettes du Mans,"Bordeau Chesnel,Rillette Du Mans","en:meats, en:spreads, en:prepared-meats, en:salted-spreads, en:rillettes, en:potted-meats, fr:rillettes-de-viande-rouge, fr:rillettes-de-porc"
155,Organic Love,,Organique,
156,"Tiramisu, crème au mascarpone","Tiramisu, crème au mascarpone","U,Saveurs","Produits laitiers,Desserts,Desserts lactés,Tiramisu"
157,Pâtes d'Alsace Papillons Farfalle (7 œufs frais),Pâtes d'Alsace IGP aux 7 œufs frais au kilo de semoule de blé dur,"Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Produits labellisés,Pâtes alimentaires,Pâtes d'Alsace,Pâtes sèches,Pâtes sèches aux œufs,Papillons,Papillons aux œufs,Papillons d'Alsace"
158,Kassler cru fumé bio,Kassler cru fumé bio,Ferme Durr,"Frais,Viandes,Charcuteries,Porc,Alsace,Fabrication-artisanale,Kassler"
159,Excellence Chocolat au lait à la fleur de sel,Chocolat au lait extra fin traditionnel à la fleur de sel.,Lindt,"Snacks sucrés,Confiseries,Chocolats,Chocolats au lait"
160,Barrita Energética Ecológica Pacana Cruda Paleo Crunch,,Paleo Crunch,
161,Confiture allégée Reines Claudes,Confiture extra de Reines-Claudes allégée en sucres,Monoprix,"Confitures allégées,Confitures de reines claudes,Confitures de prunes"
162,Boudin Blanc à l'ancienne,Boudin blanc,Saveurs des Mauges,"Viandes,Charcuteries,Frais,Boudins,Boudins blanc à l'ancienne,Boudins blancs,Produits au sel de Guérande,Entrées,Entrées chaudes"
163,Le jus fraichement presse,,Gaspard,"en:non-sugared-beverages, en:beverages"
164,Flacon Nappage Fruits Rouges Vahine,,Vahine,
165,"Sardines à l'huile de soja aux légumes, piment et épices",,Tagine,Sardines à l'huile
166,Pick Up! Choco,Biscuits garnis d'une tablette de chocolat au lait (45%),Bahlsen,"Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat"
167,10 Beefburger,"Préparation à 51% de viande hachée de boeuf halal avec protéines végétales, assaisonnée",Oriental Viandes,"Viandes,Surgelés,Boeuf,Viandes surgelées,Préparations de viande,Préparations de viande bovine,Préparations de viande surgelées,Préparations de viande hâchée,Préparations de viande hâchées surgelées,Préparations de viande bovine hâchée,Préparations de viande bovine hachée surgelées"
168,Fèves Au Lard (à La Mélasse ),,Clark,
169,Herbesan Allaitement Bio - 20 Sachets - Herbesan,,Herbesan,en:beverages
170,Jus d'orange pulpé,Jus d'orange à base de concentré,Plein Fruit,"Boissons,Boissons à base de végétaux,Boissons aux fruits,Jus et nectars,Jus et nectars de fruits,Jus de fruits,Jus de fruits à base de concentré,Jus d'orange,Jus d'orange à base de concentré"
171,Sauce Hot Mexican,Sauce Hot Mexican,"Amora,Unilever","Sauces,Sauces pimentées"
172,Petits Pois,,BF,Petits pois en conserve
173,Paté De Lapin,,Saveur U,
174,Chocolat au lait - Spéculoos,,Le comptoir de Mathilde,"Snacks sucrés,Chocolats,Chocolats au lait"
175,Hydra,,Aptonia,Boissons light
176,Grandino Pépites de Chocolat & Nougatine,Cookies aux pépites de chocolat et à la nougatine,Sondey,"Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Cookies,Cookies au chocolat,Cookies au chocolat et à la nougatine"
177,Trésor chocolat au lait,,"Kellogg's,Trésor","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales fourrées"
178,Blonde,,Bière solaire,Bières blondes
179,Farine de Blé,Farine,"Francine,Grands Moulins de Paris","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Farines,Farines de céréales,Farines de blé,Farines de blé type T45"
180,Organic Free Range Chicken Drumsticks,,Capestone,
181,"Mama, Danke, Dass Du Uns Zusammen Hältst!",,Hanf-nature,
182,Vinaigre d'alcool au jus de citron,,Carrefour,"Vinaigres d'alcools,Vinaigres aromatisés"
183,Pure Via Stevia,,Pure via,
184,Château La Grange d'Orléan,,SAS Robin,"Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Bordeaux,Côtes-de-bordeaux"
185,Mâche,Mâche,Nantial,"Salades,Mâches"
186,Linda Mccartney Vegetarian Burgers,,"Melinda s,Linda Mccartney",
187,Miel de Tournesol,,Melliflor,"Produits à tartiner,Petit-déjeuners,Produits à tartiner sucrés,Produits de la ruche,Produits d'élevages,Édulcorants,Miels,Miels de tournesol,Miels crémeux"
188,Flan Pâtissier aux œufs,,Navarre,"Snacks sucrés,Biscuits et gâteaux,Produits laitiers,Desserts,Desserts lactés,Gâteaux,Flans,Préparations pour gâteaux,Flans pâtissiers"
189,Cup a Soup Douceur de 8 légumes,,Knorr,
190,Tortelloni Fromages,,Antica pasteria,
191,Rebelle Bière spéciale blonde,Rebelle Bière,Rebelle,"Bière,Bière blonde"
192,Soja Dessert Vanille,,Provamel,
193,Gambas Entières,,Sans marque,"Gambas,Crustacés"
194,Le Coulis de Tomates (offre découverte),Purée de tomates mi-réduite à 11%,Heinz,Coulis de tomates
195,Les p'tites tranches,,Saint Agaûne,
196,"Moules Apéritif Delicemer,",,Delicemer,
197,Paturages Fge Allege Rape,,Paturages,
198,Lila Bulle Caramel (extra gourmand),"Chocolat au lait du pays alpin fourré, avec une crème confiseur (19%) liquide au caramel déposée sur un chocolat (40%) aéré, au lait du pays alpin",Milka,"Snacks sucrés,Chocolats,Chocolats au lait"
199,6 samoussas aux légumes,,Les p'tits chefs du bio,
200,Filets de maquereaux,Filets de maquereaux aux agrumes,U,Filets de maquereaux
201,Kit pour Bo Bun,Kit pour Bo Bun,Agidra,Soupes déshydratées
202,Genois. F. Cerise Nap. Chobf,,Belle France,
203,Riste d'aubergine,,"Monoprix Gourmet,Monoprix",
204,Ketchup bio au sucre de canne,,Danival,"Epicerie,Sauces,Sauces tomate,Ketchup"
205,Foie gras de Canard entier du Sud-Ouest poché au piment d'Espelette,,La Truffe,"Foies gras de canard,Foies gras mi-cuits"
206,Energy Drink,Boisson énergisante gazeuse pour adultes pratiquants une activité sportive intensive,"Crazy Tiger,MK Energy","Boissons,Boissons édulcorées,Boissons énergisantes"
207,Poulet entier,Poulet prêt à cuisiner congelé CIOP,Maayane,"Viandes,Volailles,Poulets,Volailles surgelées"
208,Thai Taste - Thai Sticky Rice - Kao Niao Thai,,Thai Taste,
209,Ravioli 4 Fromages,"Pâte farcie, Ravioli aux 4 Fromages","Lustucru,Panzani","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Frais,Céréales et pommes de terre,Céréales et dérivés,Plats préparés,Pâtes alimentaires,Ravioli,Plats préparés frais,Pâtes fraîches,Raviolis au fromage,Raviolis frais,Pâtes farcies,Pâtes Farcies"
210,Sundae Saveur Chocolat-Noisettes,,KFC,
211,Râpé aux 3 Fromages,,Auchan,Fromages râpés
212,Gâteau dauphinois aux Noix et Miel,,Pitot,"Snacks sucrés,Biscuits et gâteaux,Desserts,Gâteaux,Gâteaux dauphinois"
213,Champignons de Paris,,Pouce auchan,
214,Filets de maquereaux vin blanc et aromates,,Petit Navire,
215,Prêt à poêler du chef émincés de poulet à la Normande,,Père Dodu,
216,Olives Vertes Dénoyautées,,Sacla,Olives vertes dénoyautées
217,"Pepit Dej, Chocolat",,Chabrior,
218,multi light,,Paquito,"nectars multifruits,boissons light"
219,Pastilles Miel & Eucalyptus,Pastilles Miel & Eucalyptus,"Miel Besacier,Besacier","Pastilles au miel,Bonbons,Bonbons au miel"
220, flocons blanc bleu,Décors sucrés,ScarpCooking,Décors sucrés
221,Pizza 3 fromages,,La Toque Angevine,
222,"Cidre bouché de Normandie IGP Brut (4,5 % vol.) Bio",Cidre bouché de Normandie IGP Brut issu de l'agriculture biologique,Carrefour BIO,"Boissons,Boissons alcoolisées,Produits labellisés,Cidres,Cidres bouchés,Cidres demi-secs,Cidres bouchés de Normandie Brut"
223,Petits Gourmands Choco,,Bonneterre,"Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat"
224,Yaourt au lait entier de brebis nature,,casino,Yaourts au lait de brebis
225,Coeur de fruits Pomme Framboise,Dessert de pommes et de framboises avec morceaux de pommes,"Douceur du Verger,Marque Repère",Compotes pommes framboise
226,Pain d'épices au miel,Pain d'épices au miel,Carrefour,"Snacks sucrés,Biscuits et gâteaux,Prianiki,Pains d'épices"
227,Sauce Piment Volaille 350 G COCK,,Cock,
228,Compote Pêches,Compote de Pêches,Bonne Maman,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Desserts,Fruits et produits dérivés,Compotes,Compotes de pêche"
229,Oeufs,,Pleine Forme,Eggs
230,Sardines Grillées aux Poivrons et Thym,,Parmentier,
231,Soufflés de Lyon nature,Spécialité gastronomique de type soufflé qui se développe à la cuisson,Toque du Chef,Quenelles nature
