,product_name,generic_name,brands,categories
665,Cassonade sucre roux pur canne,,Giraudon,Cassonades
666,Monster Munch Salé,"Produit soufflé à base de pomme de terre, goût salé",Vico,Biscuits apéritif soufflés
667,"Gourdes 3 pomme-fraise, 3 pomme-abricot sans sucre ajouté U MAT & LOU,6x90g",,U,
668,Puree Amande Completes Grillees,,Damiano,
669,Confiture Fermière Framboise,,Sans marque,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Petit-déjeuners,Produits à tartiner,Fruits et produits dérivés,Pâtes à tartiner végétaux,Produits à tartiner sucrés,Confitures et marmelades,Confitures,Confitures de fruits,Confitures de fruits rouges,Confitures de framboises"
670,Cheese for burgers,"Gouda pour burger, en tranches",McEnnedy,"Goudas,Fromages en tranches,Fromages pasteurisés"
671,Bouchées de Colin d'Alaska façon fish and chips et sauce tartare,,Picard,"Plats préparés surgelés,Plats à base de poisson"
672,Jus Orange,Jus d'orange à base de jus d'orange concentré. Teneur en fruits : 100 %.,"Extra Fruit,LM (Le Mutant),Les Coopérateurs de Normandie-Picardie","Boissons,Boissons à base de végétaux,Boissons aux fruits,Jus et nectars,Jus et nectars de fruits,Jus de fruits,Jus de fruits à base de concentré,Jus d'orange,Jus d'orange à base de concentré"
673,Bacon Grille Oeufs Tomates Marinees Sauce Yaourt,,Daunat,
674,Popcorn Movies star au sucre,,Deluxe,
675,Beurre doux,Beurre doux à 82% de matière grasse,Leader Price,Beurres doux
676,Crunchy,Cereales,Naturalia,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Flocons,Flocons de céréales,Mélanges de flocons de céréales,Mueslis"
677,Le jambon de Paris sans couenne - 8 tr.,Jambon cuit de Paris de qualité supérieure,Fleury Michon,"Viandes,Charcuteries,Jambons,Jambons blancs,Jambons de Paris"
678,Coca cola zero,,Coca Cola,en:beverages
679,Goûter fourrés Cacao,,"Monoprix,Monoprix Bio","Biscuits,Biscuits au chocolat"
680,Petit Pot Petits Pois Carottes Hipp 2X190 G +,,Hipp biologique,
681,Comté,,,fr:Comté
682,Toast Gourmands,,Framprix,
683,Rôti de veau cuit doré au four - 2tranches,,Fleury Michon,
684,"Yaourt au goût pêche, fruit de la passion","Boisson de table avec 75% yogurt, au goût pêche-fruit de la passion, 1% de matière grasse dans la partie lactée",Milbona,"Produits laitiers,Yaourts,Yaourts à boire"
685,Boulgour Bio ,Boulgour gros grains issu de l'agriculture biologique,"Carrefour BIO,Carrefour","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Gruau,Gruau de blé,Boulghours"
686,Eau pétillante ,Eau pétillante,Eco +,Eaux minérales gazeuses
687,Coffret Découverte,,Les 2 Marmotte,Tisanes de plantes mélangées
688,Petit  cake au cacao ,,Gerblé,
689,Tranches de poitrine epicées texanes,,Cooperl,
690,Comté AOP (34% MG) - 250 g ,"Fromage de France AOP, à pâte pressée cuite, au lait cru de vache","L'oiseau,Auchan","Fromages de France,Fromages labéllisés,Produits AOC,Comté,Fromages de vache,Frais,Fromages,Fromage à pâte pressée cuite,Produits laitiers,Produits labellisés,Fromages au lait cru,Fromages AOC"
691,Salade De Tagliatelle Et Surimi,,Jean Stalaven,
692,Quenelle,,Ecochard,
693,Croissant au jambon,,"Sans marque,Valentin Traiteur","Plats préparés,Plats préparés feuilletés,Croissants au jambon"
694,Biscuits Salés Gouda,,"Tokapi,Marque Repère",
695,Star mint,,Haribo,
696,"P'tite Recette : Spaghetti Bolognaise, dès 8M",,Nestlé,
697,Beurre Doux (60 % MG) ,Beurre doux à teneur réduite en matière grasse,Douceur de France,"Frais,Produits laitiers,Matières grasses,Matières grasses animales,Beurres,Beurres doux,Beurres allégés"
698,"Petite danette vanille, 6x70g",,Danette,
699,Sauce caesar,,Auchan,"Epicerie,Sauces,Sauces salades"
700,Filet De Canard,,Pique Broche,
701,bière de pays ambrée,bière,Karland,"Boissons,Boissons alcoolisées,Bières"
702,Biscuit Noisette,,Milical,
